lon,lat,province,district,total
70.82,37.27,Badakhshan,Arghanj Khwa,5.0
70.43,37.06,Badakhshan,Argo,19.0
70.9,37.03,Badakhshan,Baharak,8.0
70.47,36.87,Badakhshan,Darayem,8.0
71.15,38.13,Badakhshan,Darwaz-e-Balla,2.0
70.61,37.22,Badakhshan,Faiz Abad,61.0
71.46,36.85,Badakhshan,Ishkashem,3.0
70.91,36.74,Badakhshan,Jorm,13.0
70.13,36.77,Badakhshan,Keshem,22.0
70.73,36.94,Badakhshan,Khash,2.0
70.39,37.84,Badakhshan,Khwahan,3.0
70.69,37.94,Badakhshan,Kof Ab,1.0
70.66,37.42,Badakhshan,Kohistan,1.0
70.77,35.93,Badakhshan,Koran wa Monjan,3.0
70.67,37.66,Badakhshan,Raghistan,4.0
70.14,37.34,Badakhshan,Shahr-e-Buzorg,5.0
71.24,37.6,Badakhshan,Shighnan,3.0
71.16,37.1,Badakhshan,Shuhada,3.0
70.35,36.48,Badakhshan,Tagab,1.0
70.4,36.77,Badakhshan,Teshkan,3.0
73.35,37.06,Badakhshan,Wakhan,1.0
71.18,36.76,Badakhshan,Warduj,16.0
70.37,37.31,Badakhshan,Yaftal-e-Sufla,10.0
70.79,36.44,Badakhshan,Yamgan,3.0
70.38,37.53,Badakhshan,Yawan,9.0
71.34,36.43,Badakhshan,Zebak,4.0
62.9,34.93,Badghis,Ab Kamari,11.0
63.47,35.47,Badghis,Bala Murghab,153.0
63.78,35.72,Badghis,Ghormach,131.0
64.34,35.0,Badghis,Jawand,4.0
63.11,35.17,Badghis,Muqur,78.0
63.58,34.82,Badghis,Qadis,39.0
63.12,34.81,Badghis,Qala-e-Naw,43.0
69.18,35.62,Baghlan,Andarab,9.0
68.62,36.33,Baghlan,Baghlan-e-jadid,135.0
69.16,36.24,Baghlan,Burka,13.0
68.46,35.82,Baghlan,Dahana-e-Ghory,26.0
69.36,35.74,Baghlan,Deh Salah,8.0
68.67,35.62,Baghlan,Dushi,16.0
69.57,36.23,Baghlan,Guzargah-e- Nur,2.0
68.97,35.47,Baghlan,Khenjan,9.0
69.67,35.9,Baghlan,Khowst wa Fereng,1.0
69.03,36.0,Baghlan,Nahrin,10.0
68.67,36.01,Baghlan,Pul-e- khumri,113.0
69.56,35.58,Baghlan,Pul-e-Hesar,4.0
68.38,35.28,Baghlan,Tala wa barfak,15.0
66.89,36.82,Balkh,Balkh,26.0
66.64,36.83,Balkh,Chahar Bolak,76.0
67.24,36.37,Balkh,Chahar Kent,2.0
66.6,36.52,Balkh,Chemtal,59.0
66.8,37.06,Balkh,Dawlat Abad,15.0
67.01,36.64,Balkh,Deh Dadi,10.0
67.55,37.13,Balkh,Kaldar,16.0
67.74,36.81,Balkh,Khulm,8.0
66.92,36.01,Balkh,Kishindeh,13.0
67.12,36.71,Balkh,Mazar-e-Sharif,84.0
67.18,36.84,Balkh,Nahr-e- Shahi,24.0
66.86,36.3,Balkh,Sholgareh,32.0
66.85,37.26,Balkh,Shor Tepa,5.0
66.73,35.85,Balkh,Zari,3.0
67.68,34.79,Bamyan,Bamyan,41.0
67.78,35.36,Bamyan,Kahmard,28.0
66.93,34.42,Bamyan,Panjab,2.0
67.61,35.12,Bamyan,Sayghan,2.0
68.04,34.92,Bamyan,Shibar,10.0
66.97,34.15,Bamyan,Waras,3.0
66.95,34.98,Bamyan,Yakawlang,3.0
66.3,34.07,Daykundi,Ashtarlay,5.0
